Category,Size,Installs,Minimum Android,Rating Count,Rating
Photography,6.5M,"100,000+",4.4 and up,245,4.5
Art & Design,3.9M,10+,4.0.3 and up,0,0
Events,4.8M,10+,5.0 and up,0,0
Tools,6.6M,100+,4.1 and up,0,0
Social,4.0M,"1,000+",4.1 and up,18,3.8
Shopping,Varies with device,"1,000+",Varies with device,18,4.3
Entertainment,8.1M,500+,4.4 and up,0,0
Education,Varies with device,"10,000+",4.1 and up,53,4.4
Lifestyle,Varies with device,"1,000,000+",5.0 and up,3157,3.9
Lifestyle,5.0M,"10,000+",2.3 and up,5,2.4
Arcade,17M,"1,000+",4.0.3 and up,0,0
Business,17M,"10,000+",4.1 and up,73,2.5
Education,38M,10+,4.2 and up,0,0
Education,6.0M,100+,5.0 and up,6,5
Lifestyle,3.6M,1+,5.0 and up,0,0
Music & Audio,4.2M,100+,4.0.3 and up,0,0
Shopping,3.6M,1+,4.4 and up,0,0
Finance,3.5M,50+,4.1 and up,0,0
Music & Audio,58M,"10,000+",5.0 and up,35,4.2
Travel & Local,93M,10+,4.0.3 and up,0,0
Entertainment,26M,"10,000+",4.4 and up,93,4.1
Books & Reference,5.4M,10+,4.1 and up,0,0
Beauty,16M,"100,000+",4.1 and up,442,4.6
Music & Audio,11M,"1,000+",2.2 and up,0,0
Business,9.7M,100+,4.4 and up,0,0
Tools,23M,100+,4.1 and up,0,0
Lifestyle,52M,50+,6.0 and up,0,0
Music & Audio,5.6M,1+,4.4 and up,0,0
Education,Varies with device,"100,000+",4.1 and up,853,2.4
Education,1.3M,"1,000+",4.0.3 and up,8,3.6
Travel & Local,19M,100+,5.0 and up,0,0
Adventure,48M,100+,4.4 and up,0,0
Education,1.5M,10+,4.4 and up,0,0
News & Magazines,13M,"50,000+",5.0 and up,1831,4.6
Social,8.5M,10+,4.0.3 and up,0,0
Productivity,Varies with device,100+,Varies with device,,
Business,26M,100+,6.0 and up,0,0
Entertainment,1.3M,100+,4.1 and up,0,0
Education,3.0M,"1,000+",4.4 and up,0,0
Video Players & Editors,16M,"50,000+",4.0.3 and up,397,3.9
Action,11M,100+,4.1 and up,0,0
Education,54M,100+,5.0 and up,0,0
Tools,36M,10+,5.0 and up,0,0
Books & Reference,62M,"5,000+",4.1 and up,34,4.4
Business,10M,"1,000+",7.0 and up,6,3.7
Action,16M,50+,4.1 and up,0,0
Action,133M,500+,4.4 and up,11,3.9
Entertainment,16M,"5,000+",4.4 and up,18,3.7
Entertainment,7.1M,50+,4.1 and up,0,0
Music & Audio,51M,"10,000+",4.0.3 and up,127,4.8
Trivia,4.6M,50+,4.1 and up,0,0
News & Magazines,23M,"10,000+",5.0 and up,312,4.3
Puzzle,64M,10+,4.1 and up,0,0
Productivity,152M,"1,000+",6.0 and up,20,4.3
Health & Fitness,15M,100+,5.0 and up,0,0
Maps & Navigation,136M,100+,4.1 and up,0,0
Medical,23M,500+,4.1 and up,16,4.6
Music & Audio,2.1M,10+,6.0 and up,0,0
Puzzle,1.4M,5+,1.6 and up,0,0
Sports,17M,100+,5.1 and up,0,0
Business,38M,100+,4.1 and up,0,0
Sports,9.5M,"10,000+",4.4 and up,83,4.5
Entertainment,4.5M,100+,4.0 and up,0,0
Sports,40M,500+,4.4 and up,6,1.3
Finance,8.4M,"10,000+",4.4 and up,318,4.3
Finance,3.2M,10+,4.1 and up,0,0
Tools,3.6M,100+,5.0 and up,0,0
Maps & Navigation,2.0M,10+,4.0 and up,0,0
Music & Audio,6.2M,10+,4.4 and up,0,0
Education,531k,10+,4.3 and up,0,0
Tools,8.0M,"10,000+",5.0 and up,74,4
Medical,19M,"1,000+",4.1 and up,29,3.9
Puzzle,2.3M,500+,2.3 and up,13,2.1
Shopping,46M,10+,5.0 and up,0,0
Food & Drink,13M,100+,4.1 and up,6,5
Finance,4.2M,10+,4.1 and up,0,0
Simulation,35M,"1,000+",2.3 and up,36,3.1
Shopping,83M,"100,000+",6.0 and up,2199,4.6
Shopping,32M,"1,000+",6.0 and up,39,3.9
Tools,3.9M,"10,000+",4.4 and up,430,4.3
Productivity,19M,50+,4.0.3 and up,0,0
Music & Audio,13M,"5,000+",4.1 and up,36,3.9
Sports,27M,500+,8.0 and up,0,0
Social,3.7M,100+,4.1 and up,42,5
Personalization,2.9M,"5,000+",4.0 and up,113,4.6
Beauty,5.0M,100+,4.1 and up,0,0
Photography,19M,"1,000,000+",2.3 and up,1093,3.6
Sports,19M,500+,5.0 and up,20,4.8
Business,5.1M,100+,4.4 and up,0,0
Casual,26M,"1,000+",4.1 and up,16,3.6
Social,54M,"1,000+",5.0 and up,11,4.6
Music & Audio,6.4M,"10,000+",4.0.3 and up,28,4
Maps & Navigation,5.4M,500+,4.0.3 and up,6,4.7
Simulation,7.3M,"5,000+",4.1 and up,82,4.2
Business,13M,"1,000+",5.0 and up,0,0
Books & Reference,11M,50+,4.4 and up,0,0
Productivity,16M,100+,4.4 and up,0,0
Medical,15M,1+,5.0 and up,0,0
Tools,1.6M,"10,000+",4.1 and up,236,4.5
Music,11M,500+,4.0.3 and up,0,0
Business,11M,"1,000+",4.1 and up,10,3.2
Music & Audio,6.7M,"50,000+",4.4 and up,89,3.4
Sports,30M,5+,4.4 and up,0,0
Health & Fitness,9.4M,5+,5.1 and up,0,0
Puzzle,28M,100+,4.1 and up,0,0
Music & Audio,69M,"10,000+",5.0 and up,132,4.3
Trivia,16M,"1,000+",4.4 and up,0,0
Music,3.7M,10+,5.0 and up,16,5
